county_fips,state,mean_risk,max_risk,n_years,risk_rank
22063,LA,0.9451462747321577,0.993607300693649,11,1
22019,LA,0.9359808372945951,0.9952999998220313,12,2
12011,FL,0.929888147739633,0.9943831647278496,10,3
22033,LA,0.9187003614288398,0.9940403762489716,10,4
22005,LA,0.9131996864502616,0.992752010034775,10,5
22051,LA,0.9118735994479606,0.990582089172686,13,6
22089,LA,0.9091873229865969,0.9868711305928367,11,7
22055,LA,0.9052425100928445,0.9922517694861381,10,8
22071,LA,0.9024000565029788,0.9910799476103638,11,9
36061,NY,0.9022784390149909,0.9942564250809903,30,10
22057,LA,0.9018611355045529,0.99168151799739,11,11
22105,LA,0.8992521725175513,0.9912109056253898,10,12
06041,CA,0.895957240528466,0.9828503075679719,6,13
48201,TX,0.8936776968997918,0.9962704375685969,17,14
22045,LA,0.8927599783767939,0.982491903008529,10,15
22103,LA,0.891997630341732,0.9905026890704068,10,16
12086,FL,0.8870219889146418,0.9942065235845011,10,17
12113,FL,0.8863184763750807,0.9868876896459264,13,18
12127,FL,0.8847241267288717,0.9860332326201522,13,19
22109,LA,0.883939392673562,0.990015781228465,11,20
12095,FL,0.8784201981055038,0.983764231673218,10,21
12033,FL,0.8776770519906469,0.9905410592516003,18,22
37133,NC,0.8743704453449931,0.9840249177517636,9,23
12009,FL,0.8732205664529614,0.9759534934419923,10,24
48157,TX,0.8726244564488859,0.9952470452623374,10,25
12005,FL,0.8723368335701809,0.9880822744136631,15,26
12097,FL,0.8674512338773592,0.9802578615911854,10,27
22113,LA,0.8674211259502556,0.992071292392798,10,28
12031,FL,0.8666386786380845,0.9830385296898514,12,29
12109,FL,0.8602891803693193,0.9865202477744822,10,30
22101,LA,0.860051543380912,0.9779347341726634,11,31
28047,MS,0.8595370370140509,0.9852402848922016,7,32
22047,LA,0.8556638029855105,0.9795716876190589,10,33
48113,TX,0.8504041077110767,0.9869088297221653,10,34
48439,TX,0.8490184849268374,0.9852301040752767,8,35
28059,MS,0.8485880660564756,0.9656237541483843,9,36
06065,CA,0.8482799045245124,0.9819264088000605,15,37
48029,TX,0.8451693732559189,0.9751127125676979,9,38
06037,CA,0.8435090970622151,0.9854089694721427,16,39
22097,LA,0.8371248584222059,0.9827371642577292,12,40
12099,FL,0.8357094313490042,0.9892053997451444,11,41
48215,TX,0.8354155949026693,0.9894879568536752,12,42
47157,TN,0.8352540188531012,0.9902707506143754,14,43
22075,LA,0.8343857578411621,0.9842004739789457,12,44
37049,NC,0.8341570298975444,0.9769512234995658,9,45
12015,FL,0.8289234672331633,0.9849114120493839,11,46
37141,NC,0.8285153662346372,0.9745033137699014,9,47
42089,PA,0.8247324771707829,0.9905720141102976,7,48
45051,SC,0.8241954221377586,0.9858215299484555,19,49
37129,NC,0.8217427243337609,0.9687736248747953,11,50
12083,FL,0.8201441275252119,0.9263815790769014,11,51
01003,AL,0.8198529751991491,0.9852221057199405,13,52
48355,TX,0.8171489829810892,0.9779563050348323,11,53
22079,LA,0.816366589049169,0.9823711281837361,13,54
34003,NJ,0.815555485436692,0.9921664756021451,9,55
34041,NJ,0.8148932686542014,0.9745311207194655,10,56
25021,MA,0.8137321111967378,0.978830046783389,13,57
12111,FL,0.8126401980826325,0.9855344926745503,11,58
37019,NC,0.8103661225855868,0.9793602019384828,10,59
45015,SC,0.8098245500450841,0.9726133440072492,12,60
48061,TX,0.8090071375936503,0.9913226918976277,11,61
22077,LA,0.8087349433639967,0.9753681913293331,10,62
48039,TX,0.8071415803059054,0.9904988878283626,10,63
12091,FL,0.806847177235767,0.9757703560915796,13,64
25009,MA,0.8063882286423292,0.9818514103830752,19,65
22087,LA,0.8053785737902966,0.9838632878805118,11,66
28011,MS,0.805121138088372,0.9789203850995347,11,67
22073,LA,0.8048383211421227,0.9782266124413048,11,68
34001,NJ,0.8040322644772747,0.9860129686421681,11,69
48167,TX,0.8035463407687482,0.9868137081666609,9,70
29189,MO,0.8027032693669539,0.9822091235198458,11,71
12101,FL,0.8015633041582438,0.9766348500455004,13,72
22121,LA,0.80041925074442,0.9461333555601932,10,73
45043,SC,0.7994245654180965,0.9733741729835725,12,74
