feature,coefficient,std_err,z_value,p_value,exp_coef,ci_lower,ci_upper,significant,model
intercept,12.04254707636823,1.594093621030688,7.554479183338002,4.2053921488807956e-14,169828.95736068723,7466.49524881158,3862839.76579357,True,Gamma GLM
total_disasters,-0.053419300705229614,0.04676228109305576,-1.1423587441965577,0.2533049324804175,0.9479824394313939,0.8649602840628551,1.0389733748804026,False,Gamma GLM
flood_count,0.3141052851069263,0.05055582949290334,6.213037907943299,5.196990533234023e-10,1.3690338678369642,1.239883818032607,1.5116365775775844,True,Gamma GLM
hurricane_count,0.18775961539795955,0.04591217788585116,4.089538419736384,4.3223247256612526e-05,1.2065434460207858,1.1027128823761583,1.3201506125500468,True,Gamma GLM
severe_storm_count,0.1844645079135083,0.04730954448310394,3.8990971045892793,9.655205055216211e-05,1.2025742986564087,1.0960792612849806,1.3194163915605237,True,Gamma GLM
wildfire_count,-0.06550648257165792,0.0701246614003253,-0.9341432994263846,0.3502299791569391,0.9365929752088722,0.8163204495347551,1.0745858464167504,False,Gamma GLM
cum_disasters_3yr,-0.03638680521945083,0.014171257531269651,-2.5676482936790443,0.010239098345895566,0.9642672377373174,0.9378530929213005,0.9914253232105945,True,Gamma GLM
avg_incident_duration,0.0030198752796701664,0.00097585854914463,3.0945830031587875,0.0019708977878953766,1.0030244396965227,1.0011078408721945,1.004944707806919,True,Gamma GLM
total_population,0.0004805635983771107,0.00040205323650136334,1.1952735477493939,0.23198017125714787,1.0004806790875624,0.9996926009917265,1.0012693784414575,False,Gamma GLM
median_household_income,-0.02423026560554782,0.016946719940519737,-1.429790879331939,0.15277704758309024,0.9760609306182098,0.9441736048093549,1.009025178660498,False,Gamma GLM
median_home_value,0.04984715067770025,0.022237801827603213,2.241550269407755,0.024990453145305985,1.0511104225811427,1.0062815064319175,1.097936425738595,True,Gamma GLM
pct_occupied_housing,-0.0004988771490071252,0.0023393200535061515,-0.21325733016284484,0.8311262535673541,0.9995012472695071,0.9949290407436256,1.0040944654169808,False,Gamma GLM
avg_premium,0.24491980619053852,0.04414538953806519,5.5480268438757765,2.8891152682664893e-08,1.277518859992843,1.171630575223547,1.3929769947545263,True,Gamma GLM
policy_count,-0.023169289457237396,0.011046541899067562,-2.0974246663739278,0.0359559994475379,0.9770970575406742,0.9561694681197729,0.9984826871035926,True,Gamma GLM
claims_per_policy,3.7163488184001006e-05,2.3720908678221826e-05,1.5666974941023577,0.11718541681355464,1.0000371641787549,0.9999906714050057,1.0000836591141025,False,Gamma GLM
MORTGAGE30US,-0.29382753391413685,0.09464804751964752,-3.104422559304698,0.0019065082925515651,0.7454050374472481,0.619195454127031,0.8973397109884844,True,Gamma GLM
CSUSHPINSA,0.680094552536527,0.24779683286365303,2.7445651531419695,0.006059112565468424,1.9740643762005154,1.2146083566702792,3.2083841182082375,True,Gamma GLM
CPIAUCSL,-1.5407921647844502,0.7696484880928542,-2.001942690230506,0.045290895582984436,0.214211343514973,0.04739324920771814,0.9682075075582076,True,Gamma GLM
fema_region_1,1.0027318207214948,0.18145048715533443,5.526200763865051,3.272396486472907e-08,2.7257178393847763,1.90998502348371,3.889840835709453,True,Gamma GLM
fema_region_2,1.4214411520968586,0.17338081371372518,8.198376288877311,2.4365563670724877e-16,4.143086958346185,2.949456752231308,5.819773262121078,True,Gamma GLM
fema_region_3,0.9478167410812658,0.1608599762531797,5.892185011823477,3.811221139433648e-09,2.580070543705572,1.882380089282931,3.5363548777404348,True,Gamma GLM
fema_region_4,1.3786041392487625,0.1621629640709255,8.501350151973048,1.8739817038030475e-17,3.9693570889250456,2.888595997438899,5.4544822859856446,True,Gamma GLM
fema_region_5,1.1041576658407959,0.17302664189524136,6.381431516825634,1.7544017616379268e-10,3.016682343711899,2.149062454500469,4.234577894097739,True,Gamma GLM
fema_region_6,1.667189564494736,0.16395300892985507,10.168703675380664,2.7352459347153745e-24,5.297259251759728,3.841441058434174,7.304799202565946,True,Gamma GLM
fema_region_7,1.3400942272319472,0.1705155174229125,7.859074924590272,3.869807212426872e-15,3.8194033802192715,2.73433962757172,5.335051298578222,True,Gamma GLM
fema_region_8,0.9072410345768377,0.18637872050522997,4.867728634028151,1.1288819485824892e-06,2.477477819920881,1.7193485256204382,3.5698965374021654,True,Gamma GLM
fema_region_9,1.2272575342537795,0.20610685235919213,5.954472256531189,2.6091238266547944e-09,3.4118597854593755,2.277994673217269,5.110102904320807,True,Gamma GLM
fema_region_10,1.0460131968216668,0.19371558756224255,5.399736851251443,6.673871894494128e-08,2.846280905962383,1.9470932548994409,4.160722644003223,True,Gamma GLM
