feature,coefficient,std_err,z_value,p_value,exp_coef,ci_lower,ci_upper,significant,model
intercept,-1.3268721085925859,0.04137129375472431,-32.07228945894559,1.07359924880336e-225,0.2653058125866004,0.24464224640627924,0.2877147149611429,True,Logistic (Claims Surge)
total_disasters_lag1,0.065904229529484,0.03473770580133685,1.8971957994689372,0.05780210104445074,1.068124417489395,0.9978219526482242,1.143380107251732,False,Logistic (Claims Surge)
claim_count_lag1,-2.539583336986936,0.32281633122734216,-7.866960532422519,3.6336121399542815e-15,0.07889926734931374,0.04190744764268643,0.14854386841535241,True,Logistic (Claims Surge)
avg_claim_severity_lag1,-0.5890291475111524,0.04306449888606189,-13.677835868230563,1.377311249859499e-42,0.5548657160849443,0.5099543768918466,0.6037323667323943,True,Logistic (Claims Surge)
cum_disasters_3yr,-0.18398360599610833,0.042232665840726685,-4.356428900083438,1.3220160916246694e-05,0.8319494426972748,0.7658583025149739,0.9037440384617018,True,Logistic (Claims Surge)
flood_count,0.4658041788291005,0.026067221333683516,17.86934529255706,2.0437889149543554e-71,1.5932949679120965,1.5139367294797874,1.676813043333923,True,Logistic (Claims Surge)
hurricane_count,0.40872408506769214,0.03181214959208576,12.848049890013552,8.820586124238976e-38,1.5048964397978057,1.413930503780419,1.6017147154410756,True,Logistic (Claims Surge)
severe_storm_count,0.49422072846442505,0.030396210591075966,16.259287551110845,1.9195705249211816e-59,1.639220343453689,1.544415081188247,1.7398453091542356,True,Logistic (Claims Surge)
total_population,0.26585013794021733,0.035948663522132336,7.395271809661093,1.4111930624480234e-13,1.304539543054116,1.2157875451800295,1.3997704007897547,True,Logistic (Claims Surge)
median_household_income,0.10334585058341753,0.04606177487343179,2.2436358752434202,0.0248558390415737,1.108874847778977,1.0131521696005348,1.2136414103733866,True,Logistic (Claims Surge)
median_home_value,9.52570937482945,2.495309193511902,3.8174465110766302,0.00013484000823623643,13707.650338533134,103.02722000966305,1823786.7408813355,True,Logistic (Claims Surge)
pct_occupied_housing,0.08771203820789304,0.029453346467749032,2.9779990638393636,0.0029013687087095963,1.0916737164421892,1.0304386031536585,1.1565478035502017,True,Logistic (Claims Surge)
MORTGAGE30US,0.3726068408766472,0.05918998684773359,6.295099234186001,3.072032674184698e-10,1.4515135518392983,1.292523615495185,1.630060422815527,True,Logistic (Claims Surge)
CSUSHPINSA,-0.05992907333075518,0.044362601741063185,-1.350891764206049,0.1767301068065723,0.9418313321747015,0.863399154608371,1.0273883794434893,False,Logistic (Claims Surge)
CPIAUCSL,0.3920109333914839,0.07784601417469005,5.0357226063211575,4.7604953404864657e-07,1.4799538922291144,1.2705317952841795,1.7238950896417433,True,Logistic (Claims Surge)
fema_region_1,-0.036642483411748236,0.023109712829450034,-1.5855880028527491,0.11283279949312458,0.9640207271481148,0.92133028788223,1.0086892557362375,False,Logistic (Claims Surge)
fema_region_2,0.12105167627109056,0.021802612788024197,5.552163745144443,2.8215510331823796e-08,1.1286832370012618,1.0814679599845023,1.1779598625426706,True,Logistic (Claims Surge)
fema_region_3,0.04272134159241966,0.022013007216894493,1.940731730630242,0.05229082550705011,1.0436470333066101,0.9995767298599773,1.089660350818957,False,Logistic (Claims Surge)
fema_region_4,0.08057652929903661,0.020133227145813167,4.0021666032707035,6.276507575092246e-05,1.0839117944780894,1.0419731020231981,1.1275384901275072,True,Logistic (Claims Surge)
fema_region_5,-0.07638743174875721,0.022672834611495336,-3.369116965640815,0.0007540942098014679,0.9264571980858295,0.8861887003148762,0.9685555001774123,True,Logistic (Claims Surge)
fema_region_6,0.1816222926304949,0.021482775874386087,8.454321438368826,2.807150178519699e-17,1.1991611763176986,1.149718150286086,1.2507304737511797,True,Logistic (Claims Surge)
fema_region_7,-0.14191108107952247,0.024038632477164524,-5.903458993115801,3.5595813292427506e-09,0.8676984078614818,0.8277650383529543,0.9095582588308325,True,Logistic (Claims Surge)
fema_region_8,-0.1562516392449588,0.026354011751309737,-5.928950807164812,3.0487639774214453e-09,0.8553439251880559,0.8122845630346647,0.9006858724765505,True,Logistic (Claims Surge)
fema_region_9,-0.14257755043309986,0.031131507807814266,-4.5798472503574565,4.65315637225372e-06,0.8671203061294366,0.8157933655969752,0.9216765629759561,True,Logistic (Claims Surge)
fema_region_10,-0.06487581052499967,0.024736494037553867,-2.62267605209162,0.00872421810012376,0.9371838445202271,0.8928305694709919,0.9837404637143191,True,Logistic (Claims Surge)
