feature,coefficient,std_err,z_value,p_value,exp_coef,ci_lower,ci_upper,significant,model
intercept,-1.2315888572417003e-05,3.967667034331275e-119,-3.104063033982076e+113,0.0,0.9999876841872678,0.9999876841872678,0.9999876841872678,True,Tweedie (p=1.1)
total_disasters,-1.2315888572425522e-05,3.9676670343340197e-119,-3.104063033982076e+113,0.0,0.9999876841872678,0.9999876841872678,0.9999876841872678,True,Tweedie (p=1.1)
flood_count,0.0,0.0,,,1.0,1.0,1.0,False,Tweedie (p=1.1)
hurricane_count,-1.2315888572417006e-05,3.9676670343312763e-119,-3.104063033982076e+113,0.0,0.9999876841872678,0.9999876841872678,0.9999876841872678,True,Tweedie (p=1.1)
severe_storm_count,0.0,0.0,,,1.0,1.0,1.0,False,Tweedie (p=1.1)
wildfire_count,0.0,0.0,,,1.0,1.0,1.0,False,Tweedie (p=1.1)
cum_disasters_3yr,-7.389533143450205e-05,2.380600220598766e-118,-3.104063033982076e+113,0.0,0.9999261073987582,0.9999261073987582,0.9999261073987582,True,Tweedie (p=1.1)
avg_incident_duration,-0.0005911626514760164,1.9044801764790127e-117,-3.104063033982076e+113,0.0,0.9994090120507367,0.9994090120507367,0.9994090120507367,True,Tweedie (p=1.1)
total_population,-1.4286430744003727e-07,4.60249375982428e-121,-3.104063033982076e+113,0.0,0.9999998571357027,0.9999998571357027,0.9999998571357027,True,Tweedie (p=1.1)
median_household_income,-5.5981871505921505e-05,1.8035030504552817e-118,-3.104063033982076e+113,0.0,0.9999440196954498,0.9999440196954498,0.9999440196954498,True,Tweedie (p=1.1)
median_home_value,0.08210592373400745,2.6451113535757394e-115,3.104063033982076e+113,0.0,1.0855707914515602,1.0855707914515602,1.0855707914515602,True,Tweedie (p=1.1)
pct_occupied_housing,-0.0005037198426118555,1.622775817041492e-117,-3.104063033982076e+113,0.0,0.999496407002929,0.999496407002929,0.999496407002929,True,Tweedie (p=1.1)
avg_premium,-5.397718073420217e-06,1.7389202520464622e-119,-3.104063033982076e+113,0.0,0.9999946022964943,0.9999946022964943,0.9999946022964943,True,Tweedie (p=1.1)
policy_count,-1.354747742965871e-08,4.364433737764405e-122,-3.104063033982076e+113,0.0,0.9999999864525226,0.9999999864525226,0.9999999864525226,True,Tweedie (p=1.1)
claims_per_policy,0.0,0.0,,,1.0,1.0,1.0,False,Tweedie (p=1.1)
MORTGAGE30US,-5.77515852364322e-05,1.860515865953439e-118,-3.104063033982076e+113,0.0,0.9999422500823543,0.9999422500823543,0.9999422500823543,True,Tweedie (p=1.1)
CSUSHPINSA,-1.7808091542542585e-05,5.737026390117249e-119,-3.104063033982076e+113,0.0,0.9999821920670205,0.9999821920670205,0.9999821920670205,True,Tweedie (p=1.1)
CPIAUCSL,-2.686317182281817e-05,8.654196621888991e-119,-3.104063033982076e+113,0.0,0.999973137188989,0.999973137188989,0.999973137188989,True,Tweedie (p=1.1)
fema_region_1,0.0,0.0,,,1.0,1.0,1.0,False,Tweedie (p=1.1)
fema_region_2,0.0,0.0,,,1.0,1.0,1.0,False,Tweedie (p=1.1)
fema_region_3,0.0,0.0,,,1.0,1.0,1.0,False,Tweedie (p=1.1)
fema_region_4,0.0,0.0,,,1.0,1.0,1.0,False,Tweedie (p=1.1)
fema_region_5,0.0,0.0,,,1.0,1.0,1.0,False,Tweedie (p=1.1)
fema_region_6,-1.2315888572417006e-05,3.9676670343312763e-119,-3.104063033982076e+113,0.0,0.9999876841872678,0.9999876841872678,0.9999876841872678,True,Tweedie (p=1.1)
fema_region_7,0.0,0.0,,,1.0,1.0,1.0,False,Tweedie (p=1.1)
fema_region_8,0.0,0.0,,,1.0,1.0,1.0,False,Tweedie (p=1.1)
fema_region_9,0.0,0.0,,,1.0,1.0,1.0,False,Tweedie (p=1.1)
fema_region_10,0.0,0.0,,,1.0,1.0,1.0,False,Tweedie (p=1.1)
